UserID,CourseID,Rating,Timestamp
1,316,1,1517927386
1,282,1,1643498109
1,290,1,1568400900
1,126,1,1591605461
1,217,2,1643591923
1,6,2,1623585642
1,61,2,1661541807
1,168,3,1604968060
1,70,3,1462182591
1,145,3,1561306827
1,26,3,1519560159
1,39,4,1623181091
1,318,4,1458692020
1,60,4,1495171922
1,164,4,1548019945
1,159,5,1467176664
1,266,5,1500185940
1,183,5,1522097352
1,142,5,1576216010
1,150,5,1558408386
2,303,1,1487250478
2,304,1,1520235511
2,93,1,1625064355
2,271,1,1498318604
2,290,1,1560862952
2,121,2,1579481251
2,216,2,1536170200
2,192,2,1527519215
2,278,2,1659194630
2,217,2,1628457408
2,100,3,1618372774
2,261,3,1645660133
2,80,3,1592335512
2,274,4,1647920248
2,144,4,1583434961
2,9,4,1563454586
2,98,5,1637349661
2,133,5,1562376443
2,171,5,1653498757
2,286,5,1646667844
3,208,1,1491951744
3,282,1,1499721436
3,303,1,1618727601
3,84,1,1517104545
3,251,2,1578878796
3,102,2,1630116241
3,171,2,1524303290
3,131,3,1536388731
3,141,3,1521405915
3,180,3,1661433724
3,70,4,1590898919
3,72,4,1587518464
3,237,4,1661029162
3,175,5,1580952534
3,250,5,1627310098
3,172,5,1559795000
3,178,5,1454429081
3,219,5,1537669927
4,173,1,1592696615
4,208,1,1493797164
4,48,2,1462988872
4,232,2,1613708809
4,58,2,1461449178
4,275,2,1526881403
4,150,2,1490101129
4,162,3,1454420171
4,110,3,1598355850
4,72,4,1489158177
4,98,4,1638242907
4,67,4,1486794432
4,19,4,1518357256
4,265,5,1652397776
4,264,5,1458541427
4,281,5,1592781501
5,182,1,1452419228
5,273,1,1507305557
5,284,1,1579954942
5,26,2,1649091423
5,311,2,1640735779
5,82,2,1527743759
5,145,2,1527553752
5,7,2,1615735586
5,16,3,1598557645
5,295,3,1579067954
5,21,3,1505702891
5,267,4,1645095320
5,253,4,1598222445
5,129,4,1604155109
5,198,4,1617078766
5,197,4,1487375279
5,236,5,1516456201
5,125,5,1471839390
5,246,5,1471324742
5,109,5,1563438861
5,60,5,1652460208
6,208,1,1499478862
6,272,1,1661530402
6,304,1,1654442619
6,159,2,1511220313
6,113,2,1639600182
6,90,2,1559930773
6,190,2,1574295605
6,224,2,1564844124
6,88,3,1536914930
6,244,3,1557419658
6,207,4,1656228926
6,178,4,1509914806
6,200,4,1554570159
6,124,4,1597531179
6,275,4,1505806881
6,94,5,1652082278
6,285,5,1522428169
6,133,5,1460620052
6,43,5,1534353294
6,257,5,1614685178
7,273,1,1474692772
7,191,1,1550782622
7,182,1,1487045298
7,271,1,1601391418
7,171,2,1608069523
7,104,2,1630271881
7,115,2,1645024190
7,232,2,1511938021
7,14,3,1547664197
7,196,3,1614024072
7,298,3,1480062029
7,63,3,1474928737
7,294,4,1509186732
7,267,4,1610881074
7,244,4,1475369821
7,293,4,1452831028
7,129,4,1464536143
7,161,5,1468460359
7,192,5,1531271846
7,125,5,1605017467
7,40,5,1489673404
7,140,5,1482454298
8,194,1,1470981024
8,273,1,1644249936
8,290,1,1456820452
8,316,1,1623117678
8,38,2,1553231537
8,222,2,1469782835
8,13,2,1466808485
8,318,3,1547674898
8,71,3,1488163021
8,75,4,1580654623
8,314,4,1526318787
8,274,4,1529651603
8,79,5,1452592446
8,70,5,1621263841
8,237,5,1459728563
9,135,1,1512783869
9,38,1,1582906673
9,233,1,1529023717
9,136,2,1498073848
9,272,2,1654962115
9,199,2,1534119396
9,282,3,1633279484
9,321,3,1634730450
9,239,3,1558475063
9,41,3,1496670929
9,173,4,1568909606
9,166,4,1632900497
9,290,4,1589461455
9,54,5,1469467611
9,93,5,1644466910
10,304,1,1574029705
10,93,1,1657078597
10,194,1,1518869510
10,191,1,1626405819
10,199,1,1515916856
10,167,2,1635587007
10,197,2,1613655207
10,217,2,1531804336
10,195,2,1625140085
10,32,2,1478695671
10,257,3,1480751724
10,4,3,1624660779
10,78,3,1614112106
10,125,4,1529322396
10,280,4,1536853715
